marka,isim,fiyat,degerlendirme,puan,yorum,
Tws,Airpods I12 Beyaz Iphone Android Universal Bluetooth Kulaklık Hd Ses Kalitesi 0945347310220,55 TL,19776,3.5,12460,
Tws,Airpods I12 Siyah Iphone Android Universal Bluetooth Kulaklık 0945347310223,54.50 TL,7268,3.7,4487,
Haylou,T15 Kablosuz Bluetooth Kulaklık - 2200 mAh Yüksek Pil Gücü 6971664930160,165 TL,3547,4.5,2521,
Xiaomi,Redmi Airdots Tws Bluetooth Basic 5.0 Kulaklık Mİ AİRDOTS TWS,144.90 TL,45950,4.2,29812,
Apple,Iphone Orjinal Şarj Aleti Kablosu 1m Lightning Usb Kablosu MXLY7ZM/B,75 TL,173,4.1,104,
Tws,Airpods I18-touch Bluetooth Kulaklık Apple Iphone Android Uyumlu Ultra Hd Ses Kalitesi 4163321003899,50.90 TL,11143,3.6,7190,
Tws,Airpods I12 Şarj Üniteli Bluetooth 5.0 Kulaklık -i12 TWS-İ12,59.99 TL,1503,3.9,962,
Apple,Airpods 2. Nesil Bluetooth Kulaklık Mv7n2tu/a ( Türkiye Garantili) 190199098527,1.099 TL,9204,4.8,5336,
Apple,iPhone 11 128GB Beyaz Cep Telefonu (Apple Türkiye Garantili)  Şarj Aleti Ve Kulaklık Dahildir AP-IPHO11128,7.949 TL,565,4.7,316,
Apple,iPhone 11 64GB Beyaz Cep Telefonu (Apple Türkiye Garantili)  Şarj Aleti Ve Kulaklık Dahildir AP-IPHO1164,7.435 TL,2241,4.7,1232,
